RadViz_X,RadViz_Y,Obj_DeltaW_BGA,Obj_DeltaW_bump,Obj_ELK_stress,Obj_Warpage_Post_UF_cure,Obj_Warpage_post_lid_atach,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
0.04366492382930493,0.14999975897127865,0.0133739672601223,0.06770724058151245,8.216014862060547,-0.07165179401636124,0.16707563400268555,0.25,0.06,0.125,9.0,1.0,3e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC305
0.3379453350170932,0.20030021918059712,0.006876442581415176,0.006365180015563965,9.520098686218262,-0.03487725928425789,0.1216125339269638,0.25,0.06,0.125,6.0,2.0,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC305
0.08396681526033667,-0.32404020492121793,0.001936677610501647,0.5177688002586365,8.83493423461914,-0.08197586983442307,0.023671887814998627,0.25,0.02,0.125,3.0,2.0,9e-06,0.4,3e-05,2.0,SAC405,SAC305,SAC405
0.0907336079980515,-0.34394744563891405,0.0,0.5551198720932007,8.651199340820312,-0.08044669777154922,0.014801344834268093,0.25,0.02,0.125,3.0,2.0,6e-06,0.4,3e-05,1.0,SAC305,SAC305,SAC205
0.23871821119241812,-0.035587117331001804,0.0,0.07672145962715149,8.645822525024414,-0.05260518938302994,5.810291986563243e-05,0.25,0.06,0.125,9.0,2.0,9e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC305
0.060810686211145444,-0.02794536879677929,0.0067425803281366825,0.13648621737957,8.896576881408691,-0.08764991909265518,0.10771743953227997,0.25,0.04,0.125,9.0,1.5,6e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC405
0.06682226645375172,-0.024826815224737692,0.0,0.25984758138656616,5.069807529449463,-0.05702168866991997,0.010579017922282219,0.5,0.06,0.125,3.0,1.5,3e-06,0.4,2.5e-05,1.0,SAC405,SAC105,SAC405
0.07490619101642107,0.17397573497030522,0.04374930262565613,0.0,6.72126579284668,-0.018826739862561226,0.0077444217167794704,0.75,0.06,0.125,6.0,1.5,3e-06,1.2,2e-05,1.5,SAC305,SAC205,SAC205
0.23929410654190666,0.12765958218704115,0.026117855682969093,0.0,8.266768455505371,-0.02235642820596695,0.020864510908722878,0.5,0.06,0.125,9.0,2.0,3e-06,1.2,2e-05,1.0,SAC305,SAC305,SAC205
0.3185918801094013,-0.3243801450957294,0.0,0.40474972128868103,10.747848510742188,-0.05783940479159355,-0.005554224830120802,0.75,0.02,0.125,6.0,2.0,9e-06,0.4,2e-05,1.0,SAC405,SAC205,SAC405
0.09257767684337789,0.16888564063174163,0.04086250811815262,0.0034864621702581644,6.72126579284668,-0.018826739862561226,0.0077444217167794704,0.75,0.06,0.125,6.0,1.5,3e-06,1.2,2e-05,1.0,SAC305,SAC205,SAC205
0.2364945531595374,-0.07290245601546383,0.0006792269414290786,0.15004795789718628,8.386507987976074,-0.049261294305324554,-0.014774901792407036,0.75,0.06,0.125,9.0,2.0,9e-06,0.8,2e-05,1.5,SAC405,SAC405,SAC305
0.04348795418323698,0.16382128463550874,0.03133196383714676,0.12407083064317703,4.704348087310791,-0.017247188836336136,0.014030242338776588,0.75,0.06,0.125,3.0,2.0,3e-06,1.2,2.5e-05,1.5,SAC405,SAC105,SAC105
0.15855045311035237,0.139616596530373,0.02876676246523857,0.03898259997367859,6.72126579284668,-0.018826739862561226,0.0077444217167794704,0.75,0.06,0.125,6.0,1.5,3e-06,1.2,2e-05,1.5,SAC305,SAC205,SAC305
0.31598184895140646,0.12096522453108792,0.0,0.0,7.921026229858398,-0.026371853426098824,0.032881759107112885,0.25,0.06,0.125,3.0,1.5,6e-06,1.2,2e-05,1.0,SAC205,SAC305,SAC105
