Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Cu-pillar bump solder material
150,0.0032726440113037825,0.060212548822164536,42.75,83,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
408,0.0032726440113037825,0.060212548822164536,42.75,84,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
164,0.0032726440113037825,0.060212548822164536,42.75,85,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
434,0.0032726440113037825,0.060212548822164536,42.75,86,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
74,0.0032726440113037825,0.060212548822164536,42.75,87,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
49,0.0032726440113037825,0.060212548822164536,42.75,88,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
464,0.0032726440113037825,0.060212548822164536,42.75,89,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
47,0.0032726440113037825,0.060212548822164536,42.75,90,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
480,0.0032726440113037825,0.060212548822164536,42.75,91,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
472,0.0032726440113037825,0.060212548822164536,42.75,92,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
48,0.0032726440113037825,0.060212548822164536,42.75,93,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
70,0.0032726440113037825,0.060212548822164536,42.75,94,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
72,0.0032726440113037825,0.060212548822164536,42.75,95,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
