Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,lid thickness,Cu-pillar bump solder material,BGA solder material,DeltaW_BGA,DeltaW_bump
0.125,0.5,0.02,0.8,9e-06,2.5e-05,9,2.0,SAC305,SAC405,0.5841924200455331,0.0029457771452143797
0.125,0.75,0.02,0.8,3e-06,2e-05,9,1.5,SAC305,SAC105,0.28214263916015697,0.0492946575395763
0.125,0.75,0.04,0.4,3e-06,2e-05,3,2.0,SAC105,SAC105,0.26433175802230796,0.030876230157446102
0.125,0.5,0.06,1.2,9e-06,3e-05,3,1.0,SAC405,SAC205,0.30287906527519204,0.006379057187587002
0.125,0.25,0.04,0.4,9e-06,2.5e-05,6,1.5,SAC105,SAC305,0.45021045207977295,0.00326181098353117
0.125,0.75,0.02,0.4,3e-06,2e-05,3,1.5,SAC305,SAC405,0.38767157991727197,0.007099692709743999
0.125,0.5,0.04,1.2,6e-06,3e-05,9,1.5,SAC305,SAC305,0.270460434257985,0.012579065747559098
0.125,0.75,0.04,0.4,3e-06,2e-05,3,1.0,SAC205,SAC405,0.161261130124331,0.0095426441403105
0.125,0.75,0.02,0.4,9e-06,2.5e-05,3,2.0,SAC305,SAC205,0.446008483568827,0.04240884166210889
0.125,0.75,0.02,0.8,6e-06,2e-05,3,2.0,SAC305,SAC105,0.38577621181806004,0.010156049858778701
0.125,0.75,0.02,1.2,6e-06,2e-05,3,1.0,SAC205,SAC105,0.29633920888105997,0.015123747405596102
0.125,0.25,0.02,1.2,6e-06,2.5e-05,9,2.0,SAC305,SAC105,0.32340008020400995,0.0367873338982463
0.125,0.75,0.04,0.4,9e-06,2e-05,6,2.0,SAC205,SAC105,0.31731089949607894,0.0197385207866319
0.125,0.25,0.04,0.8,6e-06,2e-05,6,2.0,SAC405,SAC105,0.163537841290235,0.014673893048893698
0.125,0.5,0.02,0.4,6e-06,3e-05,3,1.5,SAC205,SAC205,0.6263753871122941,0.0164635070541408
0.125,0.25,0.02,1.2,6e-06,3e-05,9,2.0,SAC305,SAC105,0.352454945445061,0.0164184437599033
0.125,0.75,0.06,1.2,6e-06,2.5e-05,6,1.0,SAC205,SAC205,0.286776699125767,0.05313433567062
0.125,0.75,0.02,1.2,9e-06,2e-05,9,2.0,SAC305,SAC205,0.396777212619782,0.0018268917920067898
0.125,0.5,0.04,0.4,9e-06,2.5e-05,6,1.5,SAC405,SAC105,0.348003558814526,0.010219149487966131
