Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,Design_ID,BGA solder material,DeltaW_BGA,DeltaW_bump
0.5,0.02,0.8,9e-06,2e-05,9,1.0,SAC405,11.1120112250393,-0.05296038120286534,0.032000651233829544,114,SAC405,0.0018791738548316,0.131749346852302
0.75,0.02,1.2,6e-06,3e-05,9,2.0,SAC305,10.9199864734803,-0.02794053545221676,0.05095455655828112,115,SAC305,0.0032047921558841196,0.36750523000955604
0.5,0.02,1.2,3e-06,2.5e-05,6,1.0,SAC205,10.3605248412664,-0.01999484980478878,0.019724329176824495,116,SAC305,0.0014242484751321198,0.6363000373045581
0.75,0.04,0.8,6e-06,2e-05,6,1.0,SAC105,6.40905193695864,-0.03644634675583798,0.12653268501162518,117,SAC305,0.004108893132070031,0.5089742938677471
0.75,0.02,0.8,9e-06,3e-05,9,1.5,SAC105,7.33754943358256,-0.03888691711472339,0.0925917290151119,118,SAC105,0.0156452420633287,0.61086577177047
0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC405,10.5613977969296,-0.0331893052789382,0.041688440367579425,119,SAC405,0.009198267711326497,0.39728507399558993
0.75,0.04,1.2,6e-06,2.5e-05,9,2.0,SAC105,6.07108328210001,-0.02683371218154205,0.034897856414318,120,SAC105,0.0107952202961314,0.284586802124977
0.75,0.06,1.2,3e-06,2.5e-05,3,2.0,SAC305,8.06557586479811,-0.01875938996090546,0.018630455830134365,121,SAC205,0.0289239556295798,0.247228436172008
0.75,0.02,1.2,6e-06,3e-05,6,2.0,SAC105,7.56905363600492,-0.02514936146326359,0.0873171836137771,122,SAC205,0.0676104496233157,0.18595385551452603
0.5,0.02,1.2,3e-06,3e-05,6,2.0,SAC305,11.5903858665082,-0.02010562625946472,0.0615608384832739,123,SAC305,0.013878657075110802,0.09389145299792301
0.75,0.06,1.2,9e-06,2e-05,6,1.5,SAC305,7.41739256591489,-0.03453426042688074,0.0428934916853904,124,SAC305,0.0260855781380087,0.9672624468803319
0.75,0.06,1.2,6e-06,2e-05,6,1.0,SAC205,6.65387142536616,-0.026582844264339597,0.04549558361759406,125,SAC205,0.00282628592321998,0.263358548283577
0.25,0.02,1.2,6e-06,3e-05,9,2.0,SAC305,10.3784099547726,-0.029771801375318225,0.030629138462245423,126,SAC405,0.0083498448948376,0.38204538077116007
0.75,0.06,0.8,6e-06,2e-05,3,1.5,SAC205,6.43255395751093,-0.0371922269696369,0.019676664902362972,127,SAC205,0.0012666289203480102,0.32144695520401007
0.5,0.06,0.4,9e-06,3e-05,6,1.0,SAC305,7.67817248565467,-0.075525654858211,0.04514239856507624,128,SAC205,0.0030903317601769205,0.505161677797635
0.25,0.02,1.2,9e-06,2e-05,6,2.0,SAC405,11.3563564249805,-0.03682906262110917,0.08676219359040249,129,SAC405,0.0024833566749293797,0.19357721507549303
0.5,0.06,1.2,6e-06,2e-05,9,1.5,SAC405,9.07444351582074,-0.033207914908416535,0.1110290549695491,130,SAC105,0.0225808129180222,0.4364661226669951
0.25,0.04,0.4,9e-06,2.5e-05,6,1.0,SAC205,7.20840680165624,-0.08373291534371666,0.0729515895654912,131,SAC405,0.0049834501114674,0.71742435296376
0.5,0.04,0.4,9e-06,2e-05,6,1.0,SAC105,6.51111346965207,-0.07304869606741696,0.0523011781042441,132,SAC205,0.0629771514795712,0.133743301033973
0.25,0.06,0.8,9e-06,2.5e-05,6,2.0,SAC305,7.53182068460166,-0.047683109718491226,0.021299831103533493,133,SAC405,0.0024739694345044,0.48317992687225403
0.5,0.04,1.2,3e-06,2.5e-05,6,1.5,SAC405,11.2348121523195,-0.021853215119335762,0.062254147604107704,134,SAC305,0.013480265159159902,0.367590342958768
0.5,0.04,1.2,3e-06,2e-05,9,2.0,SAC305,9.88825980664144,-0.023279470769921307,0.03366096806712447,135,SAC305,0.009741554706124601,0.22080850973725302
0.25,0.02,0.4,9e-06,3e-05,9,1.0,SAC105,5.40482554647493,-0.06985119511955411,0.04016156765283084,136,SAC105,0.009657482922193601,0.279075387865305
0.5,0.02,1.2,9e-06,2e-05,6,1.5,SAC305,10.1167017062612,-0.034713499422650784,0.028820099658332703,137,SAC205,0.009524816923658301,0.44355841974417404
0.75,0.04,0.4,6e-06,2e-05,6,1.5,SAC105,7.70702420384503,-0.05377121004858049,0.03506039502099149,138,SAC305,0.0013032051938353098,0.381940096616745
0.25,0.06,0.8,9e-06,2.5e-05,6,1.0,SAC305,7.53158109064659,-0.04770328517770386,0.03042500604351514,139,SAC105,0.015280741616152203,0.315769508481026
0.5,0.06,0.4,9e-06,2e-05,3,2.0,SAC105,5.28314556701987,-0.06950478488579391,0.018206782726338043,140,SAC205,0.209552859887481,0.484721451997757
0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC405,10.5617489584263,-0.033261555625358596,0.02736297552473834,141,SAC405,0.040156287606805396,0.09502555802464502
0.5,0.02,0.4,3e-06,2.5e-05,6,1.0,SAC405,10.2785280133578,-0.0668613170855678,0.04059916100231927,142,SAC205,0.0029524873025366105,0.216431774199009
0.5,0.06,1.2,6e-06,2.5e-05,6,1.0,SAC105,4.9027984470914,-0.027249446226051008,0.0999973490834235,143,SAC305,0.013003873755223997,0.20773173868656097
0.5,0.06,1.2,6e-06,3e-05,6,1.5,SAC205,6.77049137730778,-0.027082529384642746,0.0531367585062979,144,SAC305,0.006069745519198399,0.262504644691944
0.5,0.06,1.2,6e-06,2.5e-05,9,2.0,SAC405,9.07443656205765,-0.028305078682024004,0.02973188814939929,145,SAC305,0.0777118252590299,0.568784132599822
0.75,0.02,0.4,9e-06,2e-05,9,2.0,SAC205,10.7351037756131,-0.059765127662103554,0.0840074643492697,146,SAC405,0.0029457771452143797,0.5841924200455331
0.5,0.06,0.4,6e-06,2.5e-05,6,1.0,SAC105,5.09415896559916,-0.062142422422766595,0.0473972810432314,147,SAC105,0.0492946575395763,0.28214263916015697
0.5,0.02,0.8,9e-06,3e-05,3,2.0,SAC205,8.66370007507951,-0.04424137086607511,0.027983828273136165,148,SAC105,0.030876230157446102,0.26433175802230796
0.75,0.06,0.4,6e-06,3e-05,3,1.0,SAC205,8.15629194435832,-0.05253366735996678,0.047340841265395284,149,SAC205,0.006379057187587002,0.30287906527519204
0.5,0.04,0.8,9e-06,2.5e-05,3,1.5,SAC405,9.54701694812455,-0.052596898196497856,0.047130575694609426,150,SAC305,0.00326181098353117,0.45021045207977295
0.75,0.04,1.2,9e-06,2e-05,9,2.0,SAC305,9.18920169438264,-0.034124231751775286,0.03413566376548259,151,SAC405,0.007099692709743999,0.38767157991727197
0.25,0.06,1.2,9e-06,2.5e-05,6,1.5,SAC205,6.55627645163626,-0.03125871872180133,0.016338515619281666,152,SAC305,0.012579065747559098,0.270460434257985
0.25,0.04,0.8,3e-06,3e-05,9,1.5,SAC205,8.52366955299558,-0.03500819386681532,0.02377201884519303,153,SAC405,0.0095426441403105,0.161261130124331
0.75,0.04,0.4,6e-06,2.5e-05,6,1.0,SAC205,10.2813146888127,-0.05670413983170874,0.043800879968330236,154,SAC205,0.04240884166210889,0.446008483568827
0.5,0.02,0.4,9e-06,2e-05,9,1.0,SAC405,10.9253444680037,-0.09130823673331172,0.09528072085231543,155,SAC105,0.010156049858778701,0.38577621181806004
0.5,0.02,0.4,9e-06,2.5e-05,9,1.5,SAC205,8.3282544387423,-0.0783222928876057,0.0891110729426144,156,SAC105,0.015123747405596102,0.29633920888105997
0.5,0.06,0.8,3e-06,3e-05,9,2.0,SAC105,4.90867461175755,-0.029048687807517074,0.145136579871177,157,SAC105,0.0367873338982463,0.32340008020400995
