RadViz_X,RadViz_Y,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,BGA solder material,Obj_ELK stress,Obj_Warpage Post UF cure,Obj_Warpage post lid attach,Obj_DeltaW_BGA,Obj_DeltaW_bump
0.02412526075446036,-0.017832099273806693,0.25,0.04,0.4,9e-06,2.5e-05,9.0,2.0,SAC205,SAC205,7.145285817211633,-0.08741058414743419,0.09012768492700846,0.009284900498728137,0.33384221045253454
-0.015283622233566654,-0.19360470400754093,0.25,0.04,1.2,3e-06,2e-05,3.0,1.5,SAC105,SAC105,6.546866799570683,-0.01634071963234873,0.010877099750048087,0.11573235240154782,0.05695047544990267
0.17298699430082107,-0.3339913269121712,0.25,0.06,0.8,3e-06,2.5e-05,9.0,1.0,SAC105,SAC105,5.155728813059811,-0.030267140407925545,0.12000340596459808,0.059253945367819805,0.09945616323907591
-0.18854760841927037,-0.08281860504557238,0.75,0.02,0.8,9e-06,2e-05,3.0,1.5,SAC105,SAC105,7.612319504274797,-0.03907324716546675,0.014680586206131156,0.0,0.4627877010911535
-0.3201051171612308,0.004235000829519297,0.75,0.02,0.4,9e-06,2e-05,6.0,2.0,SAC305,SAC405,12.134958346284472,-0.061586266956967006,0.02410911822929647,0.0009825790287621879,0.5124075163387128
-0.01857076932691866,-0.18411274774183498,0.5,0.06,1.2,3e-06,2e-05,3.0,1.5,SAC205,SAC105,6.9578898210594,-0.01966221590126951,0.01733193695546366,0.11471203850637601,0.08679230498594659
0.07683497124702697,-0.14907371336003236,0.25,0.06,0.4,6e-06,2e-05,9.0,1.0,SAC405,SAC405,7.627047070302823,-0.08192563034232911,0.12952647156998476,0.002801560612460355,0.09894147114999291
-0.2705840521968462,-0.06128624427293552,0.75,0.02,0.4,3e-06,2e-05,3.0,2.0,SAC205,SAC405,10.519189334795508,-0.04938816036288426,0.012689990424637643,0.0017592269677014077,0.39638194360841383
0.011334288544385972,-0.16997481605407835,0.25,0.04,1.2,3e-06,2.5e-05,9.0,2.0,SAC105,SAC105,6.4708683374528455,-0.01814394743428798,0.013318561543057286,0.13093627704302827,0.0889917514476688
-0.1710814505286963,-0.13102086698246915,0.75,0.04,0.8,9e-06,2e-05,3.0,2.0,SAC205,SAC105,8.46757885280302,-0.04254163588886291,0.025412934649871346,0.0023684903365282714,0.27140865694281135
0.05618426600900455,-0.2778276428719339,0.25,0.06,1.2,3e-06,2e-05,6.0,1.5,SAC105,SAC105,5.350998229082951,-0.018059003385379732,0.05164645530903337,0.08034869594019031,0.009996923619581488
-0.39327355283489956,-0.2096264647125088,0.75,0.02,0.8,3e-06,2e-05,3.0,1.0,SAC405,SAC405,13.330635078051849,-0.034754048479036175,0.02905194491296074,0.0,0.2432746253822877
-0.1474377481026219,0.1344451697895423,0.25,0.02,0.4,9e-06,3e-05,6.0,2.0,SAC305,SAC205,8.683545990692934,-0.08317830752539462,0.038510392644708326,0.007387169784102719,0.7363796058923722
-0.061943868156635044,0.0827371255195941,0.25,0.06,0.4,9e-06,3e-05,3.0,2.0,SAC305,SAC105,6.795229337361247,-0.07920181135570706,0.030468219466003647,0.024747371658297535,0.542001535581661
0.049379997025887364,-0.1342988603352699,0.25,0.06,0.4,3e-06,2e-05,6.0,1.5,SAC405,SAC105,7.389006808265774,-0.06988618766212709,0.09692525563038931,0.027929975048472833,0.10798981677752673
-0.1684571003956308,0.05258828357260773,0.25,0.02,0.4,6e-06,3e-05,3.0,1.0,SAC405,SAC405,9.720160221315652,-0.08042129451125082,0.03470737675322779,0.0,0.4936883541600581
0.04711913345990861,-0.09490438391176265,0.25,0.06,0.4,9e-06,2e-05,9.0,1.0,SAC305,SAC305,6.8165953646301345,-0.08303305330210525,0.10032631785394183,0.0,0.14957551153485055
-0.2633527347330866,-0.08441976018019694,0.75,0.02,0.8,9e-06,2e-05,6.0,2.0,SAC205,SAC405,9.615073061052044,-0.04058607373870405,0.012364616611863492,0.0,0.4413409733570267
0.12902680644856301,-0.30555307189015074,0.25,0.06,0.8,3e-06,2e-05,9.0,1.5,SAC105,SAC105,5.250492942391383,-0.03208119580248529,0.10382543637000924,0.05264959535316488,0.050985491812739314
0.0756075514222791,-0.07769470499912094,0.25,0.06,0.4,6e-06,2.5e-05,9.0,2.0,SAC105,SAC405,4.4416618833306645,-0.0715247916090185,0.0828494105524463,0.008978355603870437,0.2667414187447573
-0.2709160755499739,-0.053282519986955816,0.75,0.02,0.4,3e-06,2e-05,3.0,1.5,SAC205,SAC405,10.455772030457162,-0.05030555904321946,0.012790039445311152,0.0,0.4177811514242058
-0.17961167228311178,-0.3435871464078978,0.25,0.04,1.2,3e-06,2e-05,9.0,1.5,SAC405,SAC205,11.089949120826926,-0.02253067445686295,0.06155835367526612,0.05484391996143079,0.04050622881842941
-0.26793118454136433,-0.04274266599413634,0.75,0.02,0.4,6e-06,2e-05,3.0,1.5,SAC205,SAC405,10.669677409450003,-0.05355787878272951,0.023200916231041983,0.0,0.45876199164337933
0.1410288046021008,-0.20229393878176308,0.25,0.06,0.4,3e-06,2e-05,9.0,1.0,SAC105,SAC405,4.425943582510845,-0.06209497604238667,0.12221374198186062,0.007787529160052528,0.09277101406198668
-0.17780383083182566,0.21285702719777097,0.25,0.02,0.4,9e-06,3e-05,3.0,2.0,SAC305,SAC305,8.72014535171413,-0.08184726326887803,0.030198593430444943,0.018260586166852832,0.922244921738698
-0.0683463925002555,-0.14044729197427197,0.25,0.06,0.8,3e-06,2.5e-05,9.0,2.0,SAC305,SAC105,7.998435429673564,-0.0337272704066414,0.020926791347370993,0.0861105285402878,0.11882609543741779
