Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,Obj_ELK_stress_x,Obj_Warpage_Post_UF_cure_x,Obj_Warpage_post_lid_atach_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Obj_ELK_stress_y,Obj_Warpage_Post_UF_cure_y,Obj_Warpage_post_lid_atach_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
162,0.0075342790223658085,0.015226848423480988,8.508661270141602,-0.0703393891453743,0.08168447762727737,71.75000000000023,82,0.10982314052816321,0.12413819917486804,0.0075342790223658085,0.015226848423480988,8.508661270141602,-0.0703393891453743,0.08168447762727737,0.25,0.06,0.125,6.0,1.5,3e-06,0.4,2e-05,1.0,SAC405,SAC405,SAC405
10,0.0,0.37158501148223877,8.809006690979004,-0.047809015959501266,0.009024419821798801,70.55000000000018,83,0.2894831521800862,-0.32049544706184313,0.0,0.37158501148223877,8.809006690979004,-0.047809015959501266,0.009024419821798801,0.25,0.04,0.125,9.0,2.0,9e-06,0.8,3e-05,1.5,SAC105,SAC305,SAC305
213,0.0035855749156326056,0.3901979625225067,7.7675018310546875,-0.08407281339168549,0.05238685756921768,70.55000000000013,84,0.0036774832127211996,-0.2604480002262092,0.0035855749156326056,0.3901979625225067,7.7675018310546875,-0.08407281339168549,0.05238685756921768,0.25,0.04,0.125,9.0,1.5,6e-06,0.4,3e-05,2.0,SAC105,SAC305,SAC405
190,0.0035855749156326056,0.3901979625225067,7.7675018310546875,-0.08407281339168549,0.05238685756921768,70.55000000000013,85,0.0036774832127211996,-0.2604480002262092,0.0035855749156326056,0.3901979625225067,7.7675018310546875,-0.08407281339168549,0.05238685756921768,0.25,0.04,0.125,9.0,1.5,6e-06,0.4,3e-05,2.0,SAC105,SAC305,SAC405
395,0.01185275986790657,0.0,7.14126443862915,-0.03366690129041672,0.04882301390171051,69.85000000000002,86,0.1774897385045554,0.19055220856372457,0.01185275986790657,0.0,7.14126443862915,-0.03366690129041672,0.04882301390171051,0.25,0.06,0.125,9.0,2.0,3e-06,0.8,2e-05,1.0,SAC305,SAC205,SAC405
307,0.004221816547214985,0.3003704845905304,7.4760565757751465,-0.032437026500701904,0.0007106594275683165,69.25000000000034,87,0.255651126706636,-0.18616139015676456,0.004221816547214985,0.3003704845905304,7.4760565757751465,-0.032437026500701904,0.0007106594275683165,0.75,0.06,0.125,3.0,2.0,9e-06,1.2,2.5e-05,1.5,SAC305,SAC305,SAC305
201,0.0024208505637943745,0.27308547496795654,8.809006690979004,-0.047809015959501266,0.009024419821798801,68.5499999999999,88,0.27303655843908925,-0.226021916657089,0.0024208505637943745,0.27308547496795654,8.809006690979004,-0.047809015959501266,0.009024419821798801,0.25,0.04,0.125,9.0,2.0,9e-06,0.8,3e-05,1.0,SAC105,SAC305,SAC305
333,0.0037523633800446987,0.24414363503456116,8.37515640258789,-0.08648373186588287,0.06500620394945145,68.30000000000007,89,0.04376745441117664,-0.12896266805926138,0.0037523633800446987,0.24414363503456116,8.37515640258789,-0.08648373186588287,0.06500620394945145,0.25,0.04,0.125,9.0,1.5,9e-06,0.4,2e-05,1.5,SAC205,SAC305,SAC305
252,0.01185275986790657,0.0,5.134713649749756,-0.03204447403550148,0.08108828961849213,67.55000000000013,90,0.06398810975823463,0.3471596235981225,0.01185275986790657,0.0,5.134713649749756,-0.03204447403550148,0.08108828961849213,0.25,0.06,0.125,9.0,1.5,3e-06,0.8,2e-05,1.0,SAC305,SAC105,SAC405
237,0.01185275986790657,0.0,5.134713649749756,-0.03204447403550148,0.08108828961849213,67.55000000000013,91,0.06398810975823463,0.3471596235981225,0.01185275986790657,0.0,5.134713649749756,-0.03204447403550148,0.08108828961849213,0.25,0.06,0.125,9.0,1.5,3e-06,0.8,2e-05,1.0,SAC305,SAC105,SAC405
